k;batch;learning rate;loss;epochs;MRR;MAP;time
2;2;0,010;0,500;25;0,680;0,564;347
2;2;0,010;0,200;25;0,679;0,582;345
2;2;0,010;0,050;25;0,700;0,582;345
2;2;0,010;0,010;25;0,703;0,596;345
2;2;0,050;0,500;25;0,715;0,608;346
2;2;0,050;0,200;25;0,699;0,605;345
2;2;0,050;0,050;25;0,739;0,611;345
2;2;0,050;0,010;25;0,724;0,623;345
2;2;0,100;0,500;25;0,723;0,627;345
2;2;0,100;0,200;25;0,750;0,647;345
2;2;0,100;0,050;25;0,710;0,632;345
2;2;0,100;0,010;25;0,732;0,636;345
2;2;1,000;0,500;25;0,748;0,644;345
2;2;1,000;0,200;25;0,569;0,472;345
2;2;1,000;0,050;25;0,752;0,641;346
2;2;1,000;0,010;25;0,652;0,532;345
2;2;0,010;0,500;25;0,727;0,601;533
2;2;0,010;0,200;25;0,672;0,580;533
2;2;0,010;0,050;25;0,693;0,575;534
2;2;0,010;0,010;25;0,684;0,583;533
2;2;0,050;0,500;25;0,694;0,596;533
2;2;0,050;0,200;25;0,711;0,611;533
2;2;0,050;0,050;25;0,696;0,598;533
2;2;0,050;0,010;25;0,715;0,603;534
2;2;0,100;0,500;25;0,709;0,612;533
2;2;0,100;0,200;25;0,740;0,630;533
2;2;0,100;0,050;25;0,726;0,631;533
2;2;0,100;0,010;25;0,736;0,632;533
2;2;1,000;0,500;25;0,738;0,657;534
2;2;1,000;0,200;25;0,683;0,626;533
2;2;1,000;0,050;25;0,727;0,663;534
2;2;1,000;0,010;25;0,691;0,595;533
2;5;0,010;0,500;25;0,711;0,587;332
2;5;0,010;0,200;25;0,688;0,585;332
2;5;0,010;0,050;25;0,678;0,581;332
2;5;0,010;0,010;25;0,684;0,592;332
2;5;0,050;0,500;25;0,743;0,609;331
2;5;0,050;0,200;25;0,702;0,617;332
2;5;0,050;0,050;25;0,734;0,629;332
2;5;0,050;0,010;25;0,741;0,616;331
2;5;0,100;0,500;25;0,749;0,654;332
2;5;0,100;0,200;25;0,765;0,663;331
2;5;0,100;0,050;25;0,749;0,678;331
2;5;0,100;0,010;25;0,730;0,627;331
2;5;1,000;0,500;25;0,694;0,610;331
2;5;1,000;0,200;25;0,717;0,637;331
2;5;1,000;0,050;25;0,761;0,652;331
2;5;1,000;0,010;25;0,756;0,668;331
2;5;0,010;0,500;25;0,693;0,587;520
2;5;0,010;0,200;25;0,690;0,581;520
2;5;0,010;0,050;25;0,695;0,593;519
2;5;0,010;0,010;25;0,681;0,577;520
2;5;0,050;0,500;25;0,709;0,594;520
2;5;0,050;0,200;25;0,724;0,610;520
2;5;0,050;0,050;25;0,727;0,623;520
2;5;0,050;0,010;25;0,706;0,596;520
2;5;0,100;0,500;25;0,718;0,618;520
2;5;0,100;0,200;25;0,740;0,630;520
2;5;0,100;0,050;25;0,711;0,601;520
2;5;0,100;0,010;25;0,712;0,614;520
2;5;1,000;0,500;25;0,735;0,656;520
2;5;1,000;0,200;25;0,575;0,432;520
2;5;1,000;0,050;25;0,698;0,630;520
2;5;1,000;0,010;25;0,755;0,656;520
2;10;0,010;0,500;25;0,697;0,587;327
2;10;0,010;0,200;25;0,696;0,592;327
2;10;0,010;0,050;25;0,698;0,600;327
2;10;0,010;0,010;25;0,681;0,581;327
2;10;0,050;0,500;25;0,738;0,623;327
2;10;0,050;0,200;25;0,723;0,612;328
2;10;0,050;0,050;25;0,729;0,618;327
2;10;0,050;0,010;25;0,735;0,634;328
2;10;0,100;0,500;25;0,744;0,637;327
2;10;0,100;0,200;25;0,753;0,648;327
2;10;0,100;0,050;25;0,731;0,645;327
2;10;0,100;0,010;25;0,718;0,617;327
2;10;1,000;0,500;25;0,674;0,538;327
2;10;1,000;0,200;25;0,761;0,665;327
2;10;1,000;0,050;25;0,736;0,644;327
2;10;1,000;0,010;25;0,741;0,670;327
